release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
27,944965.164958700,0.000169300,0.030000000,0.030000000,944965.165128000,944965.194958700,0,sent:DEGRADE
28,944965.198286500,0.000167300,0.030000000,0.030000000,944965.198453800,944965.228286500,0,sent:DEGRADE
29,944965.229158300,0.000171800,0.030000000,0.030000000,944965.229330100,944965.259158300,0,sent:DEGRADE
30,944965.259187800,0.000170200,0.030000000,0.030000000,944965.259358000,944965.289187800,0,sent:HOLD
31,944965.289313700,0.000188700,0.030000000,0.030000000,944965.289502400,944965.319313700,0,sent:DEGRADE
32,944965.320085100,0.000185700,0.030000000,0.030000000,944965.320270800,944965.350085100,0,sent:HOLD
33,944965.351797400,0.000187300,0.030000000,0.030000000,944965.351984700,944965.381797400,0,sent:DEGRADE
34,944965.367249300,0.000172900,0.030000000,0.030000000,944965.367422200,944965.397249300,0,sent:HOLD
35,944965.398769900,0.000223700,0.030000000,0.030000000,944965.398993600,944965.428769900,0,sent:DEGRADE
36,944965.486321000,0.000180100,0.030000000,0.030000000,944965.486501100,944965.516321000,0,sent:HOLD
37,944965.486570500,0.000037500,0.030000000,0.030000000,944965.486608000,944965.516570500,0,
38,944965.522871300,0.002500700,0.030000000,0.030000000,944965.525372000,944965.552871300,0,sent:DEGRADE
39,944965.554356100,0.000718600,0.030000000,0.030000000,944965.555074700,944965.584356100,0,sent:DEGRADE
40,944965.583726400,0.001075100,0.030000000,0.030000000,944965.584801500,944965.613726400,0,sent:DEGRADE
41,944965.621517900,0.000566500,0.030000000,0.030000000,944965.622084400,944965.651517900,0,sent:DEGRADE
42,944965.647770400,0.000572500,0.030000000,0.030000000,944965.648342900,944965.677770400,0,sent:DEGRADE
43,944965.681659000,0.001003400,0.030000000,0.030000000,944965.682662400,944965.711659000,0,sent:DEGRADE
44,944965.713138200,0.000518200,0.030000000,0.030000000,944965.713656400,944965.743138200,0,sent:DEGRADE
45,944965.742607700,0.000481000,0.030000000,0.030000000,944965.743088700,944965.772607700,0,sent:DEGRADE
46,944965.773481500,0.000692900,0.030000000,0.030000000,944965.774174400,944965.803481500,0,sent:DEGRADE
47,944965.787408100,0.001740400,0.030000000,0.030000000,944965.789148500,944965.817408100,0,
48,944965.817679700,0.002393300,0.030000000,0.030000000,944965.820073000,944965.847679700,0,sent:MOVE_LEFT
49,944965.850053300,0.000648200,0.030000000,0.030000000,944965.850701500,944965.880053300,0,sent:SLOW_DOWN
50,944965.880335500,0.000561300,0.030000000,0.030000000,944965.880896800,944965.910335500,0,
51,944965.912493200,0.000582500,0.030000000,0.030000000,944965.913075700,944965.942493200,0,sent:DEGRADE
52,944965.949332200,0.000490000,0.030000000,0.030000000,944965.949822200,944965.979332200,0,sent:HOLD
