release_idx,release_time,exec_time_s,period_s,deadline_s,finish_time,deadline_abs,missed_deadline,note
48,952898.739023900,0.000072900,0.020000000,0.020000000,952898.739096800,952898.759023900,0,
49,952898.757565300,0.000015700,0.020000000,0.020000000,952898.757581000,952898.777565300,0,
50,952898.771732000,0.000026200,0.020000000,0.020000000,952898.771758200,952898.791732000,0,
51,952898.801299800,0.000025700,0.020000000,0.020000000,952898.801325500,952898.821299800,0,
52,952898.816326200,0.000023700,0.020000000,0.020000000,952898.816349900,952898.836326200,0,
53,952898.832109300,0.000005000,0.020000000,0.020000000,952898.832114300,952898.852109300,0,
54,952898.863703300,0.000010600,0.020000000,0.020000000,952898.863713900,952898.883703300,0,
55,952898.879488800,0.000006600,0.020000000,0.020000000,952898.879495400,952898.899488800,0,
56,952898.894682800,0.000003600,0.020000000,0.020000000,952898.894686400,952898.914682800,0,
57,952898.925870700,0.000061400,0.020000000,0.020000000,952898.925932100,952898.945870700,0,
58,952898.941685900,0.000010300,0.020000000,0.020000000,952898.941696200,952898.961685900,0,
59,952898.956685300,0.000009000,0.020000000,0.020000000,952898.956694300,952898.976685300,0,
60,952898.972142300,0.000015800,0.020000000,0.020000000,952898.972158100,952898.992142300,0,
61,952899.003587600,0.000022900,0.020000000,0.020000000,952899.003610500,952899.023587600,0,
62,952899.018042800,0.000015000,0.020000000,0.020000000,952899.018057800,952899.038042800,0,
63,952899.033589000,0.000021500,0.020000000,0.020000000,952899.033610500,952899.053589000,0,
64,952899.063562400,0.000023500,0.020000000,0.020000000,952899.063585900,952899.083562400,0,
65,952899.078839900,0.000008700,0.020000000,0.020000000,952899.078848600,952899.098839900,0,
66,952899.094610200,0.000024000,0.020000000,0.020000000,952899.094634200,952899.114610200,0,
67,952899.125906600,0.000024300,0.020000000,0.020000000,952899.125930900,952899.145906600,0,
68,952899.141942400,0.000019900,0.020000000,0.020000000,952899.141962300,952899.161942400,0,
69,952899.157898700,0.000016500,0.020000000,0.020000000,952899.157915200,952899.177898700,0,
70,952899.173246700,0.000016800,0.020000000,0.020000000,952899.173263500,952899.193246700,0,
71,952899.204294600,0.000024300,0.020000000,0.020000000,952899.204318900,952899.224294600,0,
72,952899.220164600,0.000011000,0.020000000,0.020000000,952899.220175600,952899.240164600,0,
73,952899.235827300,0.000014600,0.020000000,0.020000000,952899.235841900,952899.255827300,0,
74,952899.251305700,0.000011700,0.020000000,0.020000000,952899.251317400,952899.271305700,0,
75,952899.281640100,0.000011300,0.020000000,0.020000000,952899.281651400,952899.301640100,0,
76,952899.297034700,0.000014400,0.020000000,0.020000000,952899.297049100,952899.317034700,0,
77,952899.312446500,0.000009200,0.020000000,0.020000000,952899.312455700,952899.332446500,0,
78,952899.343543100,0.000007300,0.020000000,0.020000000,952899.343550400,952899.363543100,0,
79,952899.358843600,0.000011600,0.020000000,0.020000000,952899.358855200,952899.378843600,0,
80,952899.374897100,0.000018100,0.020000000,0.020000000,952899.374915200,952899.394897100,0,
